skill_name,demand_frequency,salary_premium,market_growth,priority_score,category,learning_difficulty,time_to_learn_weeks
Machine Learning,0.92,0.95,0.95,0.938,AI/ML,Advanced,16
LLMs,0.88,0.92,0.98,0.922,AI/ML,Advanced,16
Python,0.95,0.88,0.92,0.92,Programming,Intermediate,12
AWS,0.9,0.9,0.92,0.906,Cloud,Intermediate,8
Deep Learning,0.85,0.92,0.95,0.901,AI/ML,Advanced,16
PyTorch,0.85,0.9,0.92,0.886,AI/ML,Advanced,16
Kubernetes,0.85,0.88,0.92,0.88,DevOps,Intermediate,10
Transformers,0.82,0.88,0.95,0.877,AI/ML,Advanced,16
Docker,0.88,0.85,0.9,0.877,DevOps,Intermediate,10
MLOps,0.8,0.88,0.95,0.869,AI/ML,Advanced,16
JavaScript,0.92,0.82,0.85,0.869,Programming,Intermediate,12
Snowflake,0.82,0.88,0.92,0.868,Big Data,Advanced,12
Azure,0.85,0.88,0.88,0.868,Cloud,Intermediate,8
TensorFlow,0.82,0.88,0.9,0.862,AI/ML,Advanced,16
Terraform,0.82,0.85,0.92,0.859,DevOps,Intermediate,10
Google Cloud,0.82,0.85,0.9,0.853,Cloud,Intermediate,8
NLP,0.78,0.88,0.92,0.852,AI/ML,Advanced,16
SQL,0.93,0.82,0.78,0.852,Database,Intermediate,8
Apache Spark,0.82,0.88,0.85,0.847,Big Data,Advanced,12
REST API,0.9,0.8,0.82,0.846,Backend,Intermediate,10
Git,0.95,0.75,0.8,0.845,Version Control,Beginner,2
TypeScript,0.85,0.8,0.88,0.844,Programming,Intermediate,12
Java,0.88,0.85,0.78,0.841,Programming,Intermediate,12
React,0.88,0.78,0.85,0.841,Frontend,Beginner,6
Apache Kafka,0.8,0.85,0.88,0.839,Big Data,Advanced,12
GitHub,0.92,0.75,0.82,0.839,Version Control,Beginner,2
CI/CD,0.82,0.82,0.88,0.838,DevOps,Intermediate,10
Next.js,0.82,0.8,0.9,0.838,Frontend,Beginner,6
Node.js,0.85,0.8,0.85,0.835,Backend,Intermediate,10
AWS S3,0.85,0.8,0.85,0.835,Cloud,Intermediate,8
FastAPI,0.78,0.82,0.92,0.834,Backend,Intermediate,10
dbt,0.78,0.82,0.9,0.828,Big Data,Advanced,12
Go,0.78,0.82,0.9,0.828,Programming,Intermediate,12
PostgreSQL,0.85,0.8,0.82,0.826,Database,Intermediate,8
Databricks,0.75,0.85,0.9,0.825,Big Data,Advanced,12
Computer Vision,0.75,0.85,0.9,0.825,AI/ML,Advanced,16
GitHub Actions,0.8,0.78,0.9,0.824,DevOps,Intermediate,10
Apache Airflow,0.78,0.82,0.88,0.822,Big Data,Advanced,12
AWS Lambda,0.78,0.82,0.88,0.822,Cloud,Intermediate,8
Scikit-learn,0.8,0.82,0.85,0.821,AI/ML,Advanced,16
AWS EC2,0.82,0.82,0.82,0.82,Cloud,Intermediate,8
MongoDB,0.82,0.78,0.85,0.817,Database,Intermediate,8
Feature Engineering,0.78,0.82,0.85,0.813,AI/ML,Advanced,16
GraphQL,0.75,0.82,0.88,0.81,Backend,Intermediate,10
Unit Testing,0.82,0.78,0.82,0.808,Testing,Beginner,4
Express.js,0.8,0.78,0.82,0.8,Backend,Intermediate,10
