job_id,title,company,location,salary_min,salary_max,currency,posted_date,employment_type,remote_option,experience_required
IND-JOB-0001,Cloud Engineer,HCL,Bangalore,1012000,1644500,INR,2024-12-09,Full-time,No,0-2 years
IND-JOB-0002,Cloud Engineer,Zoho,Hyderabad,968000,1573000,INR,2024-10-14,Full-time,No,2-5 years
IND-JOB-0003,Software Engineer,Freshworks,Gurgaon,720000,1170000,INR,2024-01-18,Full-time,Yes,8+ years
IND-JOB-0004,Software Engineer,CRED,Gurgaon,720000,1170000,INR,2024-05-26,Full-time,Yes,2-5 years
IND-JOB-0005,AI Engineer,PhonePe,Chennai,1120000,1820000,INR,2024-05-05,Full-time,Yes,5-8 years
IND-JOB-0006,Data Scientist,Wipro,Kolkata,960000,1560000,INR,2024-02-12,Full-time,No,0-2 years
IND-JOB-0007,AI Engineer,CRED,Noida,1120000,1820000,INR,2024-02-13,Full-time,No,5-8 years
IND-JOB-0008,DevOps Engineer,Amazon India,Hyderabad,880000,1430000,INR,2024-01-22,Full-time,Yes,0-2 years
IND-JOB-0009,Software Engineer,HCL,Kolkata,720000,1170000,INR,2024-05-15,Full-time,No,5-8 years
IND-JOB-0010,Software Engineer,Meesho,Delhi NCR,720000,1170000,INR,2024-12-22,Full-time,No,2-5 years
IND-JOB-0011,Full Stack Developer,Microsoft India,Pune,836000,1358500,INR,2024-08-13,Full-time,Yes,2-5 years
IND-JOB-0012,Cloud Engineer,Paytm,Bangalore,1012000,1644500,INR,2024-04-27,Full-time,Yes,8+ years
IND-JOB-0013,Senior Data Engineer,Wipro,Mumbai,1520000,2470000,INR,2024-10-23,Full-time,No,8+ years
IND-JOB-0014,Data Analyst,Unacademy,Ahmedabad,480000,780000,INR,2024-03-09,Full-time,No,5-8 years
IND-JOB-0015,AI Engineer,Ola,Kolkata,1120000,1820000,INR,2024-10-13,Full-time,No,2-5 years
IND-JOB-0016,Full Stack Developer,Razorpay,Hyderabad,836000,1358500,INR,2024-01-28,Full-time,No,2-5 years
IND-JOB-0017,Research Scientist,Meesho,Kolkata,1440000,2340000,INR,2024-10-03,Contract,No,8+ years
IND-JOB-0018,Full Stack Developer,Google India,Noida,760000,1235000,INR,2024-01-22,Full-time,No,5-8 years
IND-JOB-0019,Research Scientist,Unacademy,Chennai,1440000,2340000,INR,2024-02-10,Contract,No,0-2 years
IND-JOB-0020,AI Engineer,Google India,Noida,1120000,1820000,INR,2024-03-17,Full-time,Yes,5-8 years
IND-JOB-0021,Cloud Engineer,Freshworks,Gurgaon,880000,1430000,INR,2024-04-05,Full-time,Yes,0-2 years
IND-JOB-0022,DevOps Engineer,Paytm,Ahmedabad,800000,1300000,INR,2024-01-04,Full-time,Yes,5-8 years
IND-JOB-0023,Software Engineer,Infosys,Mumbai,720000,1170000,INR,2024-10-03,Full-time,Yes,0-2 years
IND-JOB-0024,Research Scientist,Zoho,Pune,1584000,2574000,INR,2024-03-22,Contract,Yes,2-5 years
IND-JOB-0025,Senior Data Engineer,Freshworks,Gurgaon,1520000,2470000,INR,2024-07-07,Full-time,Yes,8+ years
IND-JOB-0026,Cloud Engineer,Unacademy,Chennai,880000,1430000,INR,2024-08-17,Contract,No,2-5 years
IND-JOB-0027,Data Scientist,Paytm,Bangalore,1104000,1794000,INR,2024-10-18,Full-time,No,0-2 years
IND-JOB-0028,Data Scientist,ShareChat,Remote,960000,1560000,INR,2024-01-08,Full-time,Yes,0-2 years
IND-JOB-0029,Senior Data Scientist,Wipro,Noida,1760000,2860000,INR,2024-04-09,Contract,No,2-5 years
IND-JOB-0030,AI Engineer,Ola,Gurgaon,1120000,1820000,INR,2024-08-08,Contract,Yes,2-5 years
IND-JOB-0031,Data Scientist,HCL,Remote,960000,1560000,INR,2024-07-12,Contract,Yes,8+ years
IND-JOB-0032,Backend Developer,Infosys,Remote,720000,1170000,INR,2024-11-21,Full-time,Yes,0-2 years
IND-JOB-0033,Data Analyst,Paytm,Hyderabad,528000,858000,INR,2024-04-07,Full-time,No,2-5 years
IND-JOB-0034,Data Analyst,Accenture India,Delhi NCR,480000,780000,INR,2024-08-08,Full-time,No,0-2 years
IND-JOB-0035,Data Engineer,Unacademy,Noida,800000,1300000,INR,2024-01-03,Full-time,No,8+ years
IND-JOB-0036,Backend Developer,Amazon India,Kolkata,720000,1170000,INR,2024-01-06,Contract,No,8+ years
IND-JOB-0037,Senior Data Engineer,CRED,Delhi NCR,1520000,2470000,INR,2024-07-23,Contract,No,5-8 years
IND-JOB-0038,Software Engineer,Infosys,Gurgaon,720000,1170000,INR,2024-12-18,Full-time,Yes,0-2 years
IND-JOB-0039,Data Engineer,Ola,Ahmedabad,800000,1300000,INR,2024-09-28,Full-time,No,0-2 years
IND-JOB-0040,ML Engineer,Wipro,Gurgaon,1040000,1690000,INR,2024-02-22,Full-time,No,2-5 years
IND-JOB-0041,DevOps Engineer,Byju's,Bangalore,920000,1495000,INR,2024-10-03,Contract,No,5-8 years
IND-JOB-0042,Senior Data Engineer,Amazon India,Remote,1520000,2470000,INR,2024-12-11,Full-time,Yes,5-8 years
IND-JOB-0043,Data Analyst,Tech Mahindra,Remote,480000,780000,INR,2024-11-10,Contract,Yes,5-8 years
IND-JOB-0044,Research Scientist,Wipro,Bangalore,1656000,2691000,INR,2024-08-20,Full-time,No,2-5 years
IND-JOB-0045,Full Stack Developer,Google India,Pune,836000,1358500,INR,2024-06-03,Full-time,No,2-5 years
IND-JOB-0046,Backend Developer,Zoho,Delhi NCR,720000,1170000,INR,2024-10-26,Full-time,No,5-8 years
IND-JOB-0047,Cloud Engineer,HCL,Pune,968000,1573000,INR,2024-05-04,Full-time,Yes,2-5 years
IND-JOB-0048,Senior Data Engineer,Flipkart,Gurgaon,1520000,2470000,INR,2024-04-23,Full-time,No,5-8 years
IND-JOB-0049,Full Stack Developer,Razorpay,Delhi NCR,760000,1235000,INR,2024-01-03,Contract,Yes,0-2 years
IND-JOB-0050,Data Engineer,Paytm,Pune,880000,1430000,INR,2024-11-09,Full-time,Yes,8+ years
IND-JOB-0051,Full Stack Developer,TCS,Hyderabad,836000,1358500,INR,2024-02-23,Full-time,No,5-8 years
IND-JOB-0052,DevOps Engineer,Zoho,Pune,880000,1430000,INR,2024-07-05,Full-time,No,0-2 years
IND-JOB-0053,Senior Data Scientist,Amazon India,Remote,1760000,2860000,INR,2024-04-22,Full-time,Yes,5-8 years
IND-JOB-0054,Research Scientist,Zoho,Kolkata,1440000,2340000,INR,2024-10-24,Full-time,Yes,2-5 years
IND-JOB-0055,ML Engineer,Accenture India,Kolkata,1040000,1690000,INR,2024-01-06,Full-time,Yes,8+ years
IND-JOB-0056,Research Scientist,Meesho,Mumbai,1440000,2340000,INR,2024-05-06,Full-time,No,0-2 years
IND-JOB-0057,Backend Developer,Microsoft India,Mumbai,720000,1170000,INR,2024-08-12,Full-time,Yes,2-5 years
IND-JOB-0058,Software Engineer,TCS,Remote,720000,1170000,INR,2024-04-13,Full-time,Yes,5-8 years
IND-JOB-0059,Data Scientist,Google India,Chennai,960000,1560000,INR,2024-11-17,Contract,No,5-8 years
IND-JOB-0060,Data Engineer,HCL,Delhi NCR,800000,1300000,INR,2024-03-19,Full-time,No,8+ years
IND-JOB-0061,Senior Data Scientist,Paytm,Kolkata,1760000,2860000,INR,2024-10-17,Full-time,No,2-5 years
IND-JOB-0062,Senior Data Engineer,Infosys,Kolkata,1520000,2470000,INR,2024-01-17,Full-time,No,0-2 years
IND-JOB-0063,Cloud Engineer,Paytm,Gurgaon,880000,1430000,INR,2024-06-22,Full-time,Yes,5-8 years
IND-JOB-0064,Full Stack Developer,Flipkart,Remote,760000,1235000,INR,2024-07-11,Contract,Yes,5-8 years
IND-JOB-0065,Full Stack Developer,Tech Mahindra,Mumbai,760000,1235000,INR,2024-07-22,Contract,No,2-5 years
IND-JOB-0066,DevOps Engineer,Ola,Delhi NCR,800000,1300000,INR,2024-07-18,Full-time,No,2-5 years
IND-JOB-0067,Data Analyst,Ola,Gurgaon,480000,780000,INR,2024-11-11,Contract,No,2-5 years
IND-JOB-0068,Full Stack Developer,Razorpay,Pune,836000,1358500,INR,2024-11-03,Full-time,No,5-8 years
IND-JOB-0069,Data Scientist,Microsoft India,Remote,960000,1560000,INR,2024-05-08,Full-time,Yes,2-5 years
IND-JOB-0070,Data Engineer,Infosys,Mumbai,800000,1300000,INR,2024-08-20,Full-time,No,2-5 years
IND-JOB-0071,AI Engineer,ShareChat,Kolkata,1120000,1820000,INR,2024-08-13,Full-time,No,0-2 years
IND-JOB-0072,Research Scientist,HCL,Kolkata,1440000,2340000,INR,2024-04-06,Contract,No,2-5 years
IND-JOB-0073,Data Scientist,CRED,Pune,1056000,1716000,INR,2024-08-22,Full-time,Yes,8+ years
IND-JOB-0074,DevOps Engineer,Freshworks,Kolkata,800000,1300000,INR,2024-09-15,Full-time,Yes,8+ years
IND-JOB-0075,Backend Developer,Google India,Mumbai,720000,1170000,INR,2024-11-09,Contract,No,5-8 years
IND-JOB-0076,Backend Developer,Wipro,Delhi NCR,720000,1170000,INR,2024-04-09,Full-time,No,0-2 years
IND-JOB-0077,ML Engineer,Tech Mahindra,Mumbai,1040000,1690000,INR,2024-07-23,Full-time,Yes,0-2 years
IND-JOB-0078,Data Analyst,PhonePe,Chennai,480000,780000,INR,2024-09-15,Contract,No,8+ years
IND-JOB-0079,Data Analyst,Ola,Bangalore,552000,897000,INR,2024-10-13,Contract,No,5-8 years
IND-JOB-0080,Senior Data Engineer,Zomato,Kolkata,1520000,2470000,INR,2024-09-24,Full-time,No,5-8 years
IND-JOB-0081,Data Analyst,Razorpay,Bangalore,552000,897000,INR,2024-07-11,Contract,Yes,8+ years
IND-JOB-0082,ML Engineer,Byju's,Noida,1040000,1690000,INR,2024-01-13,Full-time,No,8+ years
IND-JOB-0083,ML Engineer,CRED,Pune,1144000,1859000,INR,2024-01-09,Contract,No,8+ years
IND-JOB-0084,Senior Data Scientist,Paytm,Kolkata,1760000,2860000,INR,2024-05-25,Contract,No,0-2 years
IND-JOB-0085,Backend Developer,TCS,Noida,720000,1170000,INR,2024-01-12,Full-time,No,0-2 years
IND-JOB-0086,Research Scientist,TCS,Mumbai,1440000,2340000,INR,2024-04-27,Full-time,No,2-5 years
IND-JOB-0087,ML Engineer,Razorpay,Remote,1040000,1690000,INR,2024-02-19,Full-time,Yes,8+ years
IND-JOB-0088,AI Engineer,Google India,Chennai,1120000,1820000,INR,2024-03-20,Full-time,Yes,2-5 years
